No,Name,PosGroup,Status,Height,Weight,Birthdate,Exp,College,Team,State
24,"Abdul-Quddus, Isa",dback,RES,73,196,3-Aug-89,6,Fordham,Dolphins,Florida
78,"Aboushi, Oday",off,ACT,77,308,5-Jun-91,4,Virginia,Texans,Texas
49,"Acho, Sam",lineb,ACT,75,260,6-Sep-88,6,Texas,Bears,Illinois
27,"Acker, Kenneth",dback,ACT,72,195,6-Feb-92,3,Southern Methodist,Chiefs,Missouri
33,"Adams, Andrew",dback,ACT,71,202,28-Oct-92,0,Connecticut,Giants,New York
29,"Adams, Mike",dback,ACT,71,205,24-Mar-81,13,Delaware,Colts,Indiana
76,"Adams, Mike",off,RES,79,323,10-Mar-90,5,Ohio State,Bears,Illinois
58,"Adams, Tyrell",lineb,ACT,74,228,11-Apr-92,1,West Georgia,Raiders,Nevada
37,"Addae, Jahleel",dback,ACT,70,195,24-Jan-90,4,Central Michigan,Chargers,California
38,"Adjei-Barimah, Jude",dback,RES,71,200,21-Jul-92,2,Bowling Green State,Buccaneers,Florida
35,"Aikens, Walt",dback,ACT,73,218,19-Jun-91,3,Liberty,Dolphins,Florida
57,"Alexander, D.J.",lineb,ACT,74,233,30-Sep-91,2,Oregon State,Chiefs,Missouri
54,"Alexander, Dominique",lineb,ACT,72,235,20-Apr-95,0,Oklahoma,Browns,Ohio
58,"Alexander, Kwon",lineb,ACT,73,227,3-Aug-94,2,LSU,Buccaneers,Florida
57,"Alexander, Lorenzo",lineb,ACT,73,245,31-May-83,10,California,Bills,New York
20,"Alexander, Mackensie",dback,RES,70,192,12-Nov-93,0,Clemson,Vikings,Minnesota
31,"Alexander, Maurice",dback,ACT,73,220,16-Feb-91,3,Utah State,Rams,California
23,"Alford, Robert",dback,ACT,70,186,1-Nov-88,4,Southeastern Louisiana,Falcons,Georgia
39,"Allen, Antonio",dback,RES,73,210,23-Sep-88,5,South Carolina,Jets,New York
28,"Allen, Cortez",dback,RES,73,197,29-Oct-88,5,The Citadel,Steelers,Pennsylvania
66,"Allen, Jack",off,ACT,74,296,24-Sep-92,0,Michigan State,Saints,Lousiana
20,"Allen, Nate",dback,ACT,72,210,30-Nov-87,7,South Florida,Raiders,Nevada
37,"Allen, Ricardo",dback,ACT,69,186,18-Dec-91,2,Purdue,Falcons,Georgia
47,"Alonso, Kiko",lineb,ACT,75,239,14-Aug-90,4,Oregon,Dolphins,Florida
29,"Amerson, David",dback,ACT,73,205,8-Dec-91,4,North Carolina State,Raiders,Nevada
38,"Amos, Adrian",dback,ACT,72,214,29-Apr-93,2,Penn State,Bears,Illinois
21,"Amukamara, Prince",dback,ACT,72,202,6-Jun-89,6,Nebraska,Jaguars,Florida
33,"Anderson, Colt",dback,RES,70,195,25-Oct-85,7,Montana,Bills,New York
58,"Anderson, Jonathan",lineb,ACT,73,235,27-Oct-91,2,Texas Christian,Bears,Illinois
,"Anderson, Kevin",lineb,RES,76,244,5-Apr-93,0,Stanford,Steelers,Pennsylvania
50,"Anderson, Zaire",lineb,ACT,71,224,18-Aug-92,1,Nebraska,Broncos,Colorado
60,"Andrews, David",off,ACT,75,295,10-Jul-92,2,Georgia,Patriots,Massachusetts
50,"Anthony, Stephone",lineb,RES,75,245,28-Jul-92,2,Clemson,Saints,Lousiana
24,"Apple, Eli",dback,ACT,73,199,9-Aug-95,0,Ohio State,Giants,New York
50,"Armbrister, Thurston",lineb,ACT,75,235,25-Dec-92,2,Miami (Fla.),Lions,Michigan
